disbursed_amount,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Employment.Type,DisbursalDate,State_ID,Aadhar_flag,VoterID_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
58259.0,86.91,136.0,17783.0,86.0,3744.0,Salaried,20-10-18,8.0,1.0,0.0,825.0,A-Very Low Risk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
58913.0,89.9,72.0,23823.0,86.0,484.0,Self employed,15-09-18,11.0,1.0,0.0,300.0,M-Very High Risk,3.0,2.0,2.0,411456.0,520000.0,520000.0,0.0,0.0,0.0,1.0,50.0,74.0,0.0,0.0
36439.0,52.87,160.0,22786.0,86.0,94.0,Salaried,21-10-18,16.0,1.0,0.0,0.0,No Bureau History Available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95480.0,62.52,85.0,22628.0,67.0,1977.0,Self employed,31-08-18,4.0,1.0,0.0,657.0,F-Low Risk,1.0,1.0,0.0,343088.0,400000.0,400000.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
61713.0,57.99,2.0,14927.0,48.0,1732.0,Salaried,16-08-18,4.0,1.0,0.0,0.0,No Bureau History Available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52303.0,79.62,34.0,18680.0,45.0,1001.0,Self employed,15-10-18,6.0,0.0,1.0,727.0,D-Very Low Risk,4.0,1.0,0.0,-50.0,43200.0,43200.0,0.0,0.0,0.0,0.0,18.0,29.0,1.0,0.0
47349.0,70.16,63.0,18050.0,86.0,7099.0,Salaried,30-10-18,10.0,1.0,0.0,0.0,No Bureau History Available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44849.0,74.33,159.0,23136.0,51.0,7185.0,Self employed,10-09-18,7.0,1.0,0.0,738.0,C-Very Low Risk,1.0,1.0,0.0,12166.0,20000.0,20000.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0
56713.0,87.37,79.0,22877.0,86.0,759.0,Self employed,25-10-18,18.0,1.0,0.0,0.0,No Bureau History Available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52919.0,80.0,65.0,17272.0,45.0,6839.0,Self employed,30-08-18,13.0,0.0,1.0,0.0,No Bureau History Available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
